Date_of_Birth,Gender,Marital_Status,Number_of_Dependents,Monthly_Income,Sources_of_Income,Current_Loans,Debt_to_Income_Ratio,Property_Ownership,Employment_Status,Job_Tenure_Work_Experience,Credit_Score,Loan_Amount_Requested,Loan_Purpose,Desired_Loan_Tenure,Rent_Payment_History,Utility_Bill_Payments,Spending_Patterns,BNPL_Payment_History,Gig_Economy_Income,Behavioral_Data,Loan_Approved
1969-02-19,Female,Married,4,690703,Rental_Income,Yes,0.52,Rented,Government,16,614,44262136,Medical,12,Poor,N/A,Impulsive,N/A,Yes,Positive,1
1963-04-05,Male,Married,8,116672,Rental_Income,No,0.47,Joint_Ownership,Self-Employed,25,708,34528017,Medical,60,Good,Average,Erratic,N/A,No,Negative,0
1988-07-28,Female,Married,9,894633,Primary,Yes,0.26,Rented,Salaried,4,651,25532392,Education,108,Poor,Average,Cautious,N/A,Yes,Neutral,1
1964-04-13,Male,Single,8,48330,Multiple,No,0.48,Commercial_Owned,Salaried,20,477,29602503,Wedding,72,Poor,N/A,Aggressive,Good,Yes,Very_Positive,0
1959-09-12,Male,Single,5,344804,Pension,No,0.65,Commercial_Owned,Unemployed,0,425,25656303,Medical,96,Good,Average,Aggressive,Poor,Yes,Negative,0
2007-03-05,Male,Married,9,453722,Rental_Income,Multiple,0.62,Commercial_Rented,Government,7,803,3195942,Home,108,Poor,Poor,Cautious,Good,Yes,Very_Negative,0
1975-05-20,Female,Married,2,662337,Pension,No,0.15,Joint_Ownership,Student,0,423,34861999,Education,96,Good,Good,Impulsive,Average,Yes,Neutral,1
1965-06-05,Male,Single,10,807089,Investments,No,0.73,Owned,Unemployed,0,360,13871603,Home,108,Poor,Good,Impulsive,Good,Yes,Very_Negative,0
1990-11-16,Male,Married,0,456911,Secondary,No,0.73,Commercial_Rented,Salaried,16,505,46055163,Travel,84,Poor,N/A,Cautious,N/A,Yes,Very_Negative,0
1993-11-01,Male,Married,3,149590,Investments,Multiple,0.73,Commercial_Owned,Government,2,565,1398855,Personal,360,Good,Poor,Consistent,N/A,No,Neutral,1
1973-05-25,Female,Single,7,59177,Rental_Income,No,0.7,Rented,Unemployed,0,827,40205320,Vehicle,360,Poor,Average,Aggressive,Average,No,Positive,0
1984-07-10,Female,Single,0,317119,Primary,Yes,0.43,Joint_Ownership,Government,36,837,22344236,Home,84,Good,Average,Erratic,Poor,Yes,Very_Positive,1
1973-01-28,Male,Single,10,60092,Secondary,Yes,0.87,Rented,Unemployed,0,374,10240530,Travel,36,Good,Good,Impulsive,Average,No,Negative,0
1968-09-02,Male,Married,9,244903,Pension,No,0.64,Owned,Retired,0,846,43963886,Medical,72,Poor,Average,Aggressive,N/A,No,Very_Positive,0
1970-03-05,Male,Married,3,663816,Investments,No,0.26,Owned,Self-Employed,37,616,24407566,Medical,48,Good,Good,Erratic,Average,Yes,Very_Positive,1
1980-06-04,Male,Single,2,488997,Pension,Yes,0.28,Commercial_Owned,Self-Employed,21,615,39513052,Medical,180,Average,Poor,Erratic,Average,No,Very_Positive,1
1982-06-15,Male,Married,10,827625,Primary,Multiple,0.12,Commercial_Rented,Retired,0,465,20135946,Wedding,60,N/A,N/A,Aggressive,Good,Yes,Neutral,1
2007-06-04,Female,Single,10,688284,Rental_Income,Yes,0.29,Joint_Ownership,Government,14,306,15846709,Debt_Consolidation,72,N/A,Good,Consistent,Poor,No,Very_Negative,0
1972-08-05,Male,Single,2,749647,Primary,Multiple,0.78,Commercial_Rented,Government,11,748,24156608,Wedding,60,Average,Poor,Aggressive,Average,No,Very_Positive,1
1951-12-24,Female,Married,8,603199,Rental_Income,No,0.43,Owned,Self-Employed,19,803,3681965,Home,24,N/A,Good,Erratic,Poor,No,Negative,0
1987-07-09,Male,Married,9,684523,Secondary,Multiple,0.26,Rented,Unemployed,0,840,1921540,Travel,36,Good,Good,Erratic,N/A,No,Very_Negative,0
1957-11-24,Male,Single,1,676498,Multiple,No,0.71,Owned,Government,4,864,11520554,Debt_Consolidation,180,N/A,Good,Aggressive,Poor,Yes,Very_Negative,1
1970-09-03,Female,Married,9,372455,Rental_Income,Multiple,0.31,Joint_Ownership,Government,10,409,4429445,Wedding,24,Good,Average,Erratic,Poor,No,Neutral,1
1993-11-27,Male,Single,3,991684,Multiple,Yes,0.68,Commercial_Rented,Salaried,11,302,36244242,Vehicle,96,Poor,Poor,Consistent,N/A,Yes,Negative,0
2000-05-05,Male,Single,3,204595,Rental_Income,Multiple,0.59,Rented,Retired,0,873,6091849,Debt_Consolidation,24,Good,Poor,Impulsive,N/A,Yes,Very_Negative,0
1965-08-09,Female,Married,1,90628,Secondary,No,0.8,Rented,Unemployed,0,857,19161044,Wedding,180,Good,Good,Consistent,Good,No,Very_Positive,0
1955-05-07,Female,Married,9,652781,Pension,No,0.63,Joint_Ownership,Government,25,321,25722866,Home,360,N/A,Poor,Erratic,Good,No,Positive,0
2005-03-05,Female,Married,3,629920,Primary,Yes,0.6,Commercial_Rented,Student,0,853,35666223,Wedding,72,Average,Poor,Erratic,Average,No,Very_Positive,0
1951-02-09,Male,Married,7,756987,Investments,No,0.69,Rented,Retired,0,739,25980803,Wedding,300,Good,N/A,Consistent,Average,No,Very_Positive,1
1957-12-22,Female,Married,2,381877,Pension,No,0.31,Commercial_Rented,Self-Employed,13,887,38640343,Personal,240,Average,Average,Consistent,Average,No,Neutral,0
1952-05-19,Female,Single,1,714300,Rental_Income,No,0.82,Rented,Unemployed,0,684,46757244,Travel,240,Average,Good,Aggressive,Average,No,Neutral,0
1984-03-13,Male,Single,3,286917,Rental_Income,No,0.33,Rented,Self-Employed,11,576,34612146,Business,96,Poor,Good,Aggressive,Poor,Yes,Negative,0
1984-12-28,Male,Married,0,713974,Investments,Yes,0.34,Rented,Government,12,342,29131541,Personal,48,Good,Average,Cautious,Poor,No,Neutral,1
1970-06-08,Female,Married,7,389321,Pension,No,0.66,Owned,Government,31,889,20326616,Vehicle,96,Good,Average,Impulsive,N/A,Yes,Negative,1
1965-08-22,Female,Single,7,804400,Multiple,No,0.23,Joint_Ownership,Government,35,735,32871772,Medical,36,Good,Good,Consistent,Average,No,Neutral,1
1973-01-04,Male,Single,6,289085,Primary,Multiple,0.58,Joint_Ownership,Salaried,24,594,22831250,Business,108,N/A,Average,Consistent,N/A,No,Very_Negative,0
1966-06-04,Male,Married,9,826488,Investments,No,0.39,Commercial_Owned,Salaried,26,801,895977,Home,96,Average,N/A,Aggressive,Poor,Yes,Positive,1
1998-07-18,Male,Single,1,932186,Investments,Yes,0.3,Owned,Retired,0,495,10357888,Wedding,36,Average,N/A,Erratic,N/A,No,Very_Positive,1
1979-08-14,Male,Married,1,571820,Multiple,Yes,0.2,Rented,Self-Employed,16,593,31429456,Wedding,72,Poor,Good,Impulsive,Poor,No,Very_Positive,1
1975-03-01,Female,Single,8,604908,Primary,No,0.63,Commercial_Owned,Student,0,889,42727034,Personal,240,N/A,Good,Cautious,Good,No,Neutral,1
1997-06-26,Male,Married,4,708946,Secondary,No,0.06,Joint_Ownership,Student,0,841,645173,Education,180,Average,N/A,Consistent,Average,Yes,Very_Positive,1
1969-11-19,Male,Married,2,505922,Primary,Yes,0.62,Commercial_Rented,Self-Employed,9,305,45025482,Wedding,300,Good,Average,Impulsive,Poor,No,Positive,0
1969-08-12,Female,Married,6,791745,Secondary,Multiple,0.85,Joint_Ownership,Salaried,37,780,37331303,Wedding,180,Poor,Average,Erratic,Good,Yes,Negative,1
1958-01-11,Female,Married,2,564281,Rental_Income,Multiple,0.79,Rented,Self-Employed,23,822,30879768,Debt_Consolidation,240,Good,Poor,Erratic,Average,Yes,Very_Positive,0
1999-09-02,Female,Married,0,804961,Rental_Income,Multiple,0.76,Commercial_Rented,Student,0,788,17709997,Travel,120,Poor,Average,Cautious,Poor,Yes,Very_Positive,0
1966-11-06,Female,Single,1,926059,Primary,No,0.71,Commercial_Rented,Salaried,34,593,46103855,Wedding,12,Good,Poor,Cautious,Average,No,Very_Positive,0
1976-08-15,Male,Married,10,376632,Investments,Multiple,0.24,Joint_Ownership,Government,5,768,32449155,Debt_Consolidation,120,Good,N/A,Aggressive,N/A,Yes,Very_Positive,1
1996-02-19,Female,Single,8,724680,Secondary,Yes,0.1,Commercial_Owned,Government,33,402,19776173,Vehicle,240,Good,N/A,Erratic,Good,No,Very_Positive,1
1981-02-23,Male,Single,9,999455,Pension,Yes,0.31,Commercial_Rented,Self-Employed,2,610,27353162,Travel,96,Good,N/A,Consistent,N/A,Yes,Very_Negative,1
1965-09-08,Male,Married,0,971958,Pension,Yes,0.27,Joint_Ownership,Retired,0,508,24001948,Travel,24,Average,Good,Impulsive,Good,Yes,Neutral,1
1956-01-12,Male,Single,6,521716,Multiple,Multiple,0.34,Owned,Unemployed,0,592,37060762,Education,12,Poor,Average,Erratic,N/A,No,Positive,0
1966-12-03,Male,Single,0,39506,Investments,Yes,0.36,Rented,Unemployed,0,733,33318167,Wedding,60,Good,Average,Aggressive,Average,Yes,Neutral,0
1971-03-03,Female,Married,4,897787,Investments,Multiple,0.38,Commercial_Owned,Unemployed,0,326,3145305,Medical,36,Poor,Good,Aggressive,Good,Yes,Very_Positive,0
1978-07-04,Male,Married,6,297819,Investments,Multiple,0.4,Rented,Self-Employed,16,499,750119,Debt_Consolidation,72,Average,N/A,Consistent,Average,Yes,Negative,0
1954-02-19,Male,Married,5,600626,Multiple,Multiple,0.31,Owned,Retired,0,832,32856846,Debt_Consolidation,96,N/A,N/A,Consistent,Average,Yes,Positive,1
1959-03-18,Female,Married,9,867488,Multiple,No,0.2,Joint_Ownership,Unemployed,0,327,4383876,Business,300,Poor,Average,Impulsive,Poor,Yes,Positive,0
1980-12-11,Male,Single,0,570378,Rental_Income,No,0.4,Joint_Ownership,Self-Employed,10,478,11204039,Medical,240,Average,Poor,Erratic,Good,No,Negative,0
1969-09-16,Female,Married,10,462087,Secondary,No,0.79,Joint_Ownership,Student,0,634,36836157,Debt_Consolidation,36,N/A,Average,Consistent,Average,Yes,Very_Negative,0
1999-11-16,Male,Single,6,178104,Multiple,Yes,0.75,Owned,Student,0,452,49321233,Medical,360,N/A,Poor,Cautious,N/A,Yes,Very_Positive,0
1969-07-28,Female,Married,2,577710,Pension,Multiple,0.8,Commercial_Owned,Government,8,490,16238258,Debt_Consolidation,84,N/A,Average,Impulsive,Good,No,Negative,1
1972-03-20,Female,Single,4,185746,Investments,Multiple,0.17,Rented,Salaried,22,746,4006846,Debt_Consolidation,36,Average,Average,Erratic,N/A,Yes,Positive,1
1993-08-15,Male,Married,1,603788,Primary,No,0.87,Rented,Unemployed,0,752,19610839,Personal,48,Average,Average,Impulsive,N/A,No,Very_Negative,0
1951-12-16,Male,Single,10,598196,Multiple,Multiple,0.52,Commercial_Owned,Unemployed,0,615,36555698,Personal,48,N/A,N/A,Aggressive,Poor,Yes,Neutral,0
1992-08-28,Female,Married,5,403013,Primary,Yes,0.82,Commercial_Owned,Student,0,376,22329725,Personal,48,Poor,N/A,Aggressive,Poor,Yes,Negative,0
1982-05-12,Female,Single,0,98418,Rental_Income,No,0.28,Commercial_Owned,Retired,0,367,19261951,Wedding,36,N/A,Poor,Consistent,N/A,Yes,Very_Positive,0
1969-06-10,Female,Married,2,253472,Multiple,No,0.45,Commercial_Owned,Retired,0,537,3543363,Wedding,60,Good,Good,Cautious,Good,No,Neutral,1
1968-01-12,Female,Married,6,698598,Primary,Yes,0.32,Commercial_Rented,Unemployed,0,674,43685418,Business,360,N/A,Poor,Consistent,Good,Yes,Very_Positive,0
2002-02-22,Female,Single,5,882710,Rental_Income,Yes,0.77,Rented,Retired,0,698,39047747,Vehicle,120,N/A,Average,Impulsive,Average,No,Positive,0
1957-11-23,Female,Single,1,704681,Rental_Income,No,0.81,Rented,Student,0,546,45697982,Debt_Consolidation,60,Poor,Good,Cautious,Good,No,Positive,0
1956-09-21,Male,Married,1,807190,Primary,No,0.7,Joint_Ownership,Student,0,605,10832073,Business,96,Average,N/A,Aggressive,Poor,No,Neutral,0
1981-12-10,Female,Married,8,536739,Rental_Income,Yes,0.45,Rented,Government,36,392,29287711,Education,72,N/A,Good,Aggressive,Poor,No,Positive,1
1966-02-14,Male,Married,4,376379,Secondary,Yes,0.18,Joint_Ownership,Government,14,323,24102472,Personal,84,N/A,Good,Impulsive,Average,Yes,Neutral,1
1983-06-11,Male,Married,6,291378,Rental_Income,No,0.47,Joint_Ownership,Government,15,418,41367130,Home,360,Good,Average,Impulsive,Poor,No,Neutral,0
1966-06-10,Female,Single,9,893355,Pension,No,0.88,Commercial_Owned,Student,0,809,19751503,Travel,240,N/A,N/A,Erratic,Average,Yes,Positive,1
2000-07-26,Male,Single,3,717021,Secondary,Yes,0.86,Commercial_Owned,Salaried,19,448,9830100,Medical,48,Average,Average,Impulsive,N/A,No,Positive,0
1961-05-12,Male,Single,6,844483,Rental_Income,Multiple,0.61,Commercial_Owned,Retired,0,338,44602210,Debt_Consolidation,24,N/A,N/A,Consistent,Good,Yes,Neutral,0
2007-01-25,Female,Married,6,603244,Investments,No,0.71,Rented,Government,30,532,22467950,Wedding,360,N/A,Good,Erratic,N/A,Yes,Negative,0
1975-12-07,Female,Married,4,571600,Multiple,Multiple,0.53,Owned,Government,36,773,42009077,Home,12,N/A,Average,Consistent,Poor,No,Positive,1
1950-06-20,Male,Married,5,769035,Rental_Income,No,0.74,Owned,Self-Employed,17,708,18459405,Travel,84,Average,N/A,Cautious,Poor,Yes,Neutral,0
1955-12-25,Female,Single,4,277874,Pension,Multiple,0.36,Commercial_Owned,Unemployed,0,680,37253231,Personal,360,Poor,Average,Cautious,Average,No,Negative,0
1956-06-24,Female,Single,4,882086,Primary,Multiple,0.81,Rented,Retired,0,758,20027331,Vehicle,12,Average,Average,Impulsive,Poor,Yes,Neutral,0
1971-01-28,Male,Single,4,916499,Secondary,Yes,0.47,Joint_Ownership,Government,25,419,28063379,Personal,60,N/A,Poor,Cautious,Good,Yes,Positive,1
1960-09-03,Female,Married,5,38424,Secondary,Multiple,0.38,Rented,Self-Employed,11,814,28142291,Wedding,48,Poor,Poor,Aggressive,Poor,Yes,Very_Negative,0
1972-02-21,Female,Married,8,376618,Multiple,Yes,0.19,Owned,Retired,0,842,117035,Home,60,Good,Average,Aggressive,Average,Yes,Negative,1
1994-10-25,Male,Single,5,700232,Rental_Income,Yes,0.56,Commercial_Owned,Student,0,430,1567631,Business,48,Average,N/A,Erratic,Good,Yes,Very_Negative,0
1989-06-05,Male,Married,10,93890,Secondary,No,0.76,Commercial_Owned,Unemployed,0,427,7721984,Vehicle,72,Poor,Average,Erratic,N/A,No,Very_Positive,0
1997-12-13,Male,Single,7,893427,Rental_Income,No,0.83,Owned,Self-Employed,10,699,35475329,Travel,84,Average,N/A,Consistent,Average,Yes,Very_Positive,1
2004-02-28,Male,Single,0,344768,Rental_Income,Yes,0.81,Commercial_Owned,Unemployed,0,880,8148601,Vehicle,12,Average,N/A,Impulsive,N/A,No,Very_Positive,0
1964-04-05,Male,Married,2,700481,Secondary,Yes,0.51,Rented,Unemployed,0,730,636175,Medical,120,Good,Average,Erratic,N/A,Yes,Very_Negative,0
1963-01-01,Female,Married,9,141573,Pension,Yes,0.11,Rented,Student,0,867,12713393,Debt_Consolidation,96,N/A,N/A,Cautious,Average,Yes,Positive,1
1991-02-13,Male,Married,7,682905,Rental_Income,Yes,0.35,Commercial_Owned,Unemployed,0,385,23901583,Education,120,Average,Average,Consistent,Good,No,Neutral,0
1951-06-04,Female,Married,5,662614,Primary,Yes,0.63,Joint_Ownership,Retired,0,749,4778486,Business,96,Poor,N/A,Erratic,Average,No,Very_Negative,0
1990-07-20,Female,Married,6,250630,Primary,Multiple,0.57,Commercial_Owned,Government,8,347,25366959,Personal,72,Average,Average,Aggressive,Good,Yes,Very_Positive,0
2001-12-03,Male,Single,3,203294,Rental_Income,Multiple,0.04,Rented,Salaried,30,755,46510397,Business,180,Good,Average,Cautious,N/A,No,Positive,1
1961-03-11,Female,Married,10,618382,Multiple,Yes,0.82,Rented,Salaried,31,375,26096974,Vehicle,120,Average,Average,Consistent,Poor,Yes,Positive,0
1974-03-23,Male,Single,4,898908,Primary,Yes,0.8,Rented,Salaried,9,682,35267114,Home,240,N/A,Poor,Consistent,N/A,No,Very_Negative,0
2000-05-17,Female,Married,4,299246,Investments,Multiple,0.08,Owned,Student,0,413,35501377,Debt_Consolidation,36,Average,N/A,Aggressive,Poor,Yes,Very_Negative,0
1985-11-24,Female,Single,6,335313,Investments,Yes,0.65,Commercial_Owned,Self-Employed,7,528,12493185,Vehicle,360,Average,Average,Aggressive,Average,Yes,Neutral,0
1998-11-03,Female,Single,7,635992,Secondary,Yes,0.2,Commercial_Owned,Retired,0,700,25338031,Business,360,N/A,N/A,Aggressive,Poor,No,Very_Positive,1
1980-05-27,Male,Single,8,30424,Secondary,Yes,0.04,Rented,Government,20,808,13704799,Travel,360,Poor,Average,Impulsive,Average,Yes,Negative,1
1997-04-05,Female,Married,4,847344,Secondary,No,0.03,Commercial_Owned,Unemployed,0,870,48953550,Wedding,12,Poor,Poor,Cautious,Good,No,Very_Negative,1
1962-09-07,Female,Married,5,807479,Rental_Income,No,0.74,Rented,Self-Employed,6,738,33241815,Medical,240,Poor,Poor,Impulsive,Good,No,Positive,1
2000-10-27,Male,Single,7,762735,Primary,Multiple,0.85,Commercial_Rented,Retired,0,733,11898582,Debt_Consolidation,36,N/A,Poor,Aggressive,Average,No,Neutral,1
2003-04-26,Female,Single,9,418387,Pension,Yes,0.02,Commercial_Rented,Salaried,10,797,31769648,Travel,36,Poor,N/A,Consistent,N/A,No,Negative,1
1983-05-06,Female,Married,5,326138,Investments,No,0.55,Joint_Ownership,Retired,0,742,40149000,Debt_Consolidation,12,Average,Poor,Cautious,Poor,Yes,Neutral,0
1951-01-20,Female,Married,5,370058,Secondary,Yes,0.56,Owned,Unemployed,0,634,41999207,Wedding,180,Good,Average,Consistent,N/A,Yes,Very_Positive,0
1978-12-19,Female,Single,4,914411,Multiple,Yes,0.54,Joint_Ownership,Self-Employed,4,675,16173034,Debt_Consolidation,72,Good,Average,Aggressive,N/A,Yes,Neutral,1
1996-06-04,Female,Married,0,591163,Rental_Income,Yes,0.48,Commercial_Rented,Student,0,598,46991384,Education,360,N/A,Average,Cautious,Poor,No,Negative,0
1983-10-20,Female,Married,0,839300,Rental_Income,Multiple,0.51,Joint_Ownership,Unemployed,0,761,8973014,Wedding,108,N/A,N/A,Impulsive,Average,No,Positive,0
1983-02-10,Female,Single,3,720103,Pension,No,0.72,Commercial_Owned,Government,18,611,16150774,Travel,180,Average,N/A,Consistent,Good,No,Very_Negative,1
1972-11-21,Male,Married,2,205719,Multiple,No,0.54,Joint_Ownership,Self-Employed,34,541,16600913,Business,180,Good,Average,Impulsive,Good,No,Neutral,0
1993-01-22,Male,Married,1,443573,Investments,Multiple,0.19,Commercial_Rented,Salaried,2,614,6025888,Personal,300,Average,N/A,Cautious,Poor,No,Negative,1
1969-07-28,Male,Single,10,142515,Multiple,No,0.48,Commercial_Owned,Government,15,683,32099636,Medical,300,N/A,Good,Cautious,Average,No,Very_Negative,1
1989-09-22,Female,Married,9,302468,Secondary,Yes,0.14,Commercial_Rented,Salaried,0,831,11643925,Business,60,N/A,Average,Aggressive,Poor,No,Negative,1
1961-01-28,Male,Single,1,755318,Investments,Multiple,0.67,Rented,Retired,0,830,22382130,Education,300,N/A,Poor,Aggressive,N/A,Yes,Neutral,0
1989-02-09,Male,Married,0,113799,Multiple,Multiple,0.17,Rented,Government,37,374,45594681,Education,96,Poor,Good,Erratic,Poor,Yes,Neutral,0
1992-12-08,Female,Single,1,221449,Investments,No,0.32,Rented,Unemployed,0,736,44332623,Wedding,360,Good,Good,Impulsive,Average,No,Very_Positive,0
1966-02-20,Male,Single,2,505428,Primary,No,0.21,Owned,Self-Employed,4,500,3811384,Vehicle,72,Poor,Poor,Cautious,Average,No,Positive,1
2006-06-01,Male,Married,0,115947,Multiple,Multiple,0.36,Rented,Government,31,781,25034890,Debt_Consolidation,180,Poor,Good,Consistent,Good,No,Very_Negative,0
1967-06-13,Female,Single,3,66527,Multiple,No,0.54,Commercial_Rented,Unemployed,0,513,28802510,Personal,48,Good,Poor,Erratic,N/A,No,Negative,0
2005-01-04,Male,Single,5,299300,Rental_Income,Yes,0.35,Commercial_Owned,Government,19,375,21200129,Business,36,Good,Poor,Impulsive,Good,No,Neutral,0
1993-12-09,Male,Single,4,401809,Secondary,Yes,0.79,Commercial_Owned,Salaried,19,826,21154485,Business,84,N/A,Good,Cautious,Average,Yes,Positive,1
1973-07-20,Male,Married,10,519062,Secondary,Yes,0.54,Commercial_Owned,Retired,0,363,37174517,Vehicle,12,Good,Average,Consistent,N/A,No,Very_Negative,0
1995-09-11,Female,Single,4,714138,Investments,No,0.68,Commercial_Owned,Government,39,554,37325010,Debt_Consolidation,72,Average,Poor,Consistent,Average,Yes,Very_Positive,1
1968-10-13,Female,Married,7,172357,Primary,No,0.16,Rented,Government,20,606,36406119,Personal,240,Good,Good,Aggressive,N/A,Yes,Very_Negative,1
1983-12-15,Male,Single,10,140836,Secondary,Yes,0.61,Owned,Retired,0,515,43010428,Wedding,180,Average,Good,Erratic,N/A,No,Very_Positive,0
1995-01-27,Female,Single,4,509924,Investments,Multiple,0.11,Commercial_Rented,Student,0,587,38404434,Home,84,Average,Average,Impulsive,Average,Yes,Negative,0
1997-09-14,Male,Married,10,497669,Pension,Multiple,0.46,Owned,Self-Employed,18,374,34818290,Debt_Consolidation,120,Average,N/A,Aggressive,N/A,No,Very_Negative,0
1962-09-04,Male,Married,6,455764,Multiple,No,0.24,Commercial_Owned,Government,16,885,7505932,Debt_Consolidation,108,N/A,Good,Aggressive,Average,Yes,Very_Negative,1
1977-11-20,Female,Married,10,592308,Secondary,No,0.15,Joint_Ownership,Student,0,447,27936604,Vehicle,12,N/A,Average,Erratic,Average,Yes,Neutral,0
1992-08-02,Male,Married,2,394106,Pension,Yes,0.72,Commercial_Owned,Self-Employed,33,710,20519173,Travel,60,Good,Poor,Consistent,Average,Yes,Neutral,1
1952-10-11,Female,Single,9,159630,Pension,Yes,0.75,Owned,Government,27,892,10025732,Wedding,120,Good,Poor,Impulsive,Average,No,Positive,1
1986-05-16,Male,Married,7,601698,Investments,Multiple,0.86,Joint_Ownership,Salaried,33,465,24621673,Medical,96,Good,Poor,Consistent,Good,No,Positive,0
1965-12-07,Female,Single,8,765791,Primary,Multiple,0.43,Rented,Student,0,702,18531763,Travel,48,Poor,Good,Consistent,N/A,Yes,Neutral,0
2005-03-22,Female,Married,4,554141,Secondary,Multiple,0.06,Rented,Student,0,879,11938276,Personal,72,Average,Poor,Cautious,N/A,No,Neutral,1
1964-07-14,Male,Single,6,957483,Rental_Income,Yes,0.09,Rented,Self-Employed,35,435,36719656,Vehicle,300,Poor,Poor,Impulsive,Average,No,Positive,1
2003-12-13,Male,Single,0,672001,Pension,Yes,0.46,Joint_Ownership,Student,0,786,20120029,Business,60,Good,Average,Aggressive,Average,No,Neutral,1
1971-12-15,Male,Single,8,34241,Primary,Multiple,0.7,Joint_Ownership,Self-Employed,4,692,49995437,Debt_Consolidation,240,Poor,Poor,Aggressive,Poor,No,Positive,0
1970-10-21,Male,Single,8,751023,Primary,No,0.55,Joint_Ownership,Salaried,17,375,39335714,Business,120,Good,Average,Cautious,Average,No,Very_Positive,0
1980-01-28,Female,Single,2,540001,Multiple,Yes,0.43,Joint_Ownership,Retired,0,760,1777001,Wedding,180,Good,N/A,Consistent,Poor,No,Positive,1
1959-08-06,Male,Single,2,183983,Multiple,Yes,0.68,Commercial_Owned,Unemployed,0,896,2738322,Wedding,96,N/A,Average,Erratic,Poor,Yes,Negative,0
1977-12-01,Female,Married,10,944760,Multiple,Yes,0.51,Joint_Ownership,Salaried,30,446,47993882,Debt_Consolidation,96,Average,Good,Aggressive,Poor,No,Positive,0
2007-12-15,Female,Single,10,817346,Primary,Yes,0.39,Rented,Self-Employed,9,770,10247204,Vehicle,84,Poor,N/A,Consistent,Good,No,Positive,0
2004-09-22,Female,Married,2,575241,Primary,No,0.66,Rented,Government,0,568,15747930,Medical,180,Good,Average,Erratic,N/A,Yes,Very_Positive,1
1995-09-13,Female,Married,2,185177,Pension,No,0.03,Joint_Ownership,Unemployed,0,392,30464955,Personal,72,Average,Good,Impulsive,Good,No,Very_Negative,0
1954-07-16,Male,Single,5,935008,Secondary,Yes,0.29,Commercial_Owned,Student,0,898,2951185,Personal,120,Average,Poor,Impulsive,Average,No,Positive,0
1951-04-21,Female,Single,8,703410,Primary,Multiple,0.27,Rented,Self-Employed,31,470,30580066,Wedding,96,Poor,Poor,Consistent,Average,Yes,Neutral,0
1996-01-23,Male,Single,1,279912,Multiple,Multiple,0.03,Owned,Government,38,622,23877164,Personal,108,Average,Good,Aggressive,N/A,No,Neutral,1
1974-04-20,Female,Single,5,686193,Primary,Multiple,0.33,Owned,Unemployed,0,396,28262997,Wedding,84,N/A,N/A,Aggressive,Good,Yes,Negative,0
1990-10-05,Male,Single,8,339767,Rental_Income,Multiple,0.76,Joint_Ownership,Retired,0,687,4460355,Medical,72,Average,Average,Impulsive,N/A,No,Negative,0
1994-06-10,Male,Married,8,591079,Pension,Yes,0.3,Commercial_Owned,Unemployed,0,669,41326915,Education,36,Good,Average,Erratic,Average,Yes,Very_Negative,0
1969-04-13,Female,Single,6,674543,Secondary,Multiple,0.56,Commercial_Rented,Salaried,16,318,3220062,Travel,84,Average,Good,Erratic,Poor,Yes,Positive,0
1996-01-21,Female,Single,0,530050,Multiple,Yes,0.65,Rented,Student,0,471,8121813,Wedding,24,Average,Poor,Aggressive,Poor,Yes,Very_Positive,0
1975-09-21,Male,Single,1,770509,Pension,Yes,0.13,Commercial_Owned,Student,0,548,2796939,Education,36,Poor,N/A,Impulsive,Poor,No,Very_Positive,1
1977-07-03,Male,Single,9,307038,Rental_Income,Yes,0.23,Joint_Ownership,Self-Employed,7,869,8769864,Vehicle,300,N/A,N/A,Consistent,Good,No,Negative,1
1965-04-19,Male,Single,6,855020,Pension,Multiple,0.52,Commercial_Owned,Self-Employed,40,371,46048650,Business,24,N/A,N/A,Impulsive,Poor,Yes,Very_Negative,0
1984-02-03,Female,Married,8,963852,Pension,Yes,0.84,Commercial_Owned,Salaried,37,639,31716704,Personal,240,Average,Average,Erratic,Poor,No,Positive,1
1996-06-04,Female,Single,9,252460,Investments,No,0.63,Rented,Unemployed,0,577,22945867,Education,120,N/A,Good,Erratic,Good,No,Very_Negative,0
1978-12-10,Male,Married,7,347900,Investments,Multiple,0.38,Commercial_Rented,Self-Employed,7,363,2975062,Education,240,N/A,Average,Cautious,Poor,Yes,Negative,0
1997-12-02,Male,Married,6,822390,Multiple,Multiple,0.41,Rented,Self-Employed,3,898,38270173,Medical,180,N/A,Good,Erratic,N/A,No,Positive,1
2000-09-01,Male,Married,6,278870,Multiple,Multiple,0.01,Rented,Student,0,645,19879425,Business,24,Poor,N/A,Cautious,Good,No,Very_Positive,1
1968-05-22,Female,Single,7,485885,Rental_Income,Yes,0.02,Owned,Salaried,40,863,25528204,Vehicle,240,Good,Good,Aggressive,Average,No,Positive,1
2003-12-20,Male,Single,8,278501,Primary,Yes,0.44,Owned,Student,0,857,7750121,Education,36,Good,Poor,Aggressive,Average,No,Very_Negative,1
1999-04-02,Male,Married,0,419782,Pension,Multiple,0.08,Commercial_Owned,Unemployed,0,771,22738546,Vehicle,96,Poor,Good,Impulsive,Average,No,Very_Positive,1
1968-06-13,Female,Married,0,91851,Secondary,Multiple,0.89,Owned,Government,15,570,18788208,Education,108,Good,Good,Impulsive,Good,Yes,Positive,0
